NOMBRE_INSTRUMENTO,FOLIO_INSTRUMENTO,ROL_A_EVALUAR,ROL_EVALUADOR,TUTORIZADO,NOMBRE_SECCION,NOMBRE_INDICADOR,NO_PREGUNTA,PREGUNTA_BONO,OBLIGADA,PREGUNTA,NO_APLICA,VALIDO_NO_APLICA,NO_ENVIO_MENSAJE,SI,NO,SIEMPRE,CASI_SIEMPRE,ALGUNAS_VECES,CASI_NUNCA,NUNCA,RESPUESTA_ABIERTA,TIPO_INSTRUMENTO,EVA_TIPO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,1,SI,SI,Ingresó a la plataforma educativa 5 días hábiles antes de la apertura del curso.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,2,SI,SI,En caso de problema de acceso se comunicó por correo electrónico o vía telefónica a mesa de ayuda.,SI,SI,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,3,SI,SI,Envió bienvenida a los tutores mediante mensajería de plataforma educativa.,,SI,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,4,SI,SI,"En el mensaje de bienvenida, proporcionó nombre completo, correo electrónico y señaló la existencia del servicio de mensajería de la plataforma, para facilitar su localización en caso de alguna duda por parte de los tutores.",,,SI,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,5,SI,SI,Comunicó a los tutores a su cargo las fechas de inicio y término del curso.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,6,SI,SI,Resolvió la solicitud de apoyo por parte de los tutores en el aspecto tecnológico.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,7,SI,SI,Atendió la solicitud de apoyo por parte de los tutores en relación a los contenidos.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,8,SI,SI,Verificó el ingreso de los tutores al curso a más tardar 5 días antes del inicio del mismo.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,9,SI,SI,Se comunicó vía correo electrónico o vía telefónica con el tutor que no ha ingresado a fin de identificar si tuvo algún problema de acceso o disponibilidad para ingresar al curso.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,10,SI,SI,En caso de ausencia de respuesta de un tutor que no ingresó notificó al coordinador de curso sobre la problemática presentada y solicitó valorar la baja del tutor.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,11,SI,SI,"En caso de baja de un tutor que no ingresó, participó en la elección de otro tutor en común acuerdo con el coordinador de curso.",SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,12,SI,SI,Asumió temporalmente las funciones de los tutores ausentes.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,13,SI,SI,Solicitó a los tutores dar la bienvenida a los alumnos.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,14,SI,NO,Verificó que los tutores iniciaran el tema de discusión en el foro correspondiente a su grupo.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,15,SI,NO,"En caso de que un tutor haya iniciado un foro en el grupo incorrecto, solicitó al coordinador de curso se eliminara el tema del grupo equivocado y se realizara de forma adecuada.",SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,16,SI,SI,Solicitó mediante mensajería de plataforma educativa a los tutores el reporte de las acciones realizadas con los alumnos que no ingresaron.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,17,SI,SI,Retroinformó el reporte procedente de los tutores sobre las acciones realizadas con los alumnos que no ingresaron.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,18,SI,SI,Notificó al tutor a través de mensajería de la plataforma educativa las acciones definitivas a seguir con los alumnos.,,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,19,SI,SI,Dio seguimiento a las acciones solicitadas a los tutores relativas a los alumnos que no ingresaron.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,20,SI,SI,Motivó a los tutores para continuar con sus actividades.,,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,21,SI,SI,Propició una comunicación permanente con los tutores.,,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,22,SI,SI,Acordó con los tutores la forma de asignar las calificaciones a las actividades llevadas a cabo por los alumnos.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,23,SI,SI,Acordó con los tutores la forma de asignar las calificaciones a las tareas.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,24,SI,SI,Comunicó a los tutores el procedimiento relativo a las prebajas de alumnos.,SI,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,25,SI,SI,Comunicó a los tutores el procedimiento relativo a las bajas de alumnos.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,26,SI,SI,"Sugirió a través de mensajería en plataforma educativa, acciones a los tutores respecto al seguimiento del desempeño de los alumnos.",,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,27,SI,SI,Verificó el cumplimiento de las acciones solicitadas al tutor para dar seguimiento al avance de los alumnos.,,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,28,SI,SI,Cuando existió bajo o nulo desempeño del tutor solicitó su baja al coordinador de curso.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,29,SI,SI,"Verificó al finalizar cada unidad, la existencia de evaluaciones no realizadas y/o tareas que no fueron entregadas solicitando a los tutores el seguimiento del alumno.",,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,30,SI,NO,Solicitó a los tutores a través de mensajería en plataforma educativa el asentamiento de calificaciones.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,31,SI,NO,"Verificó que las calificaciones de cada unidad y módulo por grupo, estuvieran correctamente asentadas. (a mas tardar una semana después de finalizar el módulo o unidad, según las características del curso)",,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,32,SI,NO,Solicitó a los tutores el asentamiento de las calificaciones pendientes y supervisó que se cumpla dicha indicación.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,33,SI,SI,"Identificó junto con el tutor, alumnos en riesgo de baja por las calificaciones obtenidas.",,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,34,SI,SI,Solicitó al tutor a través de mensajería en plataforma educativa la notificación de los riesgos de baja a los alumnos correspondientes y realizó un seguimiento estrecho.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,35,SI,SI,Identificó alumnos en los que procedió la baja.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,36,SI,SI,"Solicitó al tutor a través de mensajería de plataforma educativa, elaborar el listado completo de alumnos candidatos a baja del curso.",SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,37,SI,SI,Recibió y validó el listado de bajas elaborado por los tutores y las envió al coordinador de curso.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,38,SI,SI,Recibió ratificación de baja de alumnos y notificó al tutor correspondiente.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,39,SI,SI,Solicitó a los tutores que respondieran la encuesta de satisfacción.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,40,SI,SI,Envió comunicado para que los tutores solicitaran a sus alumnos responder la encuesta de satisfacción.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,41,SI,SI,Solicitó a los tutores el envío de una notificación de conclusión del curso a los alumnos.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,42,SI,NO,Notificó al coordinador de curso la validación de las calificaciones de todos los alumnos.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,43,SI,NO,"Notificó a los tutores, las calificaciones finales validadas.",,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,44,SI,SI,Informó a los tutores el periodo de emisión de constancias y les indicó dar a conocer esta información a los alumnos.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,45,SI,SI,Solicitó a los tutores vía correo electrónico las inconformidades de los alumnos y los anexos que contienen las evidencias de su desempeño durante el curso.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,46,SI,SI,"Analizó las inconformidades, agregó comentarios y envió la inconformidad del alumno con las evidencias correspondientes al coordinador de curso.",SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,47,SI,SI,"Solicitó a los tutores mediante correo electrónico, las sugerencias para mejorar el curso.",,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,48,SI,SI,Integró las sugerencias para mejorar el curso en próximas implementaciones al reporte de cierre de curso.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,49,SI,SI,Envió por correo electrónico las sugerencias al coordinador de curso.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,50,SI,SI,"En el reporte final de curso, integró las observaciones de funcionamiento de la plataforma y procedió a la evaluación en curso, conforme al tipo de curso.",,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
